parameters,calculated,simulated
lambda,10.0,9.897411223323145
mu,5.0,4.938233332364925
rho,2.0,2.004241305986095
t,0.2,0.20250156942687414
K,2.009009009009009,2.0134865522948386
T,0.2009009009009009,0.2034356769525832
Q,0.009009009009009007,0.009245246308743432
W,0.0009009009009009007,0.0009341075257090569
